Marca temporal	Pais	Comercial encargado	Cliente	Nombre-Correo Gestor Cliente	N° Vacantes	Perfil del Puesto	Tiempo del Servicio	Modalidad de Trabajo	Formación Académica Mínima Requerida	Conocimientos Técnicos Específicos	Años y Tipo de Experiencia	Asignación Equipo	Especificaciones Máquina Portátil	Tarifa	Salario	Observaciones	USUARIO	Estado	Observación Proceso	Número de Candidatos Enviados	Fecha de Envío al Solicitante	Candidato 1	Candidato 2	Candidato 3	Candidato 4	Candidato 5	Candidato 6
2024-10-12 11:22:30	España	Víctor Díaz	Cliente M	doraplana@example.net	2	Patronista y cortador de tela	> 1 Año	100 % Remoto	Pregrado Ingeniería de Sistemas	"Veniam quas facere ipsum. Rerum harum hic quas iure.
Ratione doloribus totam officia dolore quis.
Rem veniam ex expedita dolores. Dolor enim porro occaecati suscipit vitae odit."	> a 3 años	Cliente	Por definir	1650645	$ 3625298 + $178388	Laboriosam fugiat sit iste. Quidem sapiente incidunt omnis ex.	Cristian Carrillo	CERRADA	Vitae cum blanditiis iste atque voluptate est.	9	2024-12-08 17:06:37	Epifanio Díaz Fuertes	Gabino de Amores	Néstor Fajardo Palomar	Atilio Adán Borrego	Paco Cañete Pareja	Teodosio Losa Arana
2024-04-26 18:15:01	España	Niolimar Sequera	Cliente R	zperez@example.net	3	Laminador de vidrio	Más de 1 año	100 % Remoto	Pregrado Ingeniería de Sistemas	Provident consectetur sit. Quibusdam error pariatur consectetur. Animi placeat excepturi facere.	> a 3 años	Samtel	Por definir	3929294	$ 3492628 + $257448	Consequuntur officiis fugiat quasi. Accusamus quae aliquid aliquid.	Carolina Sabogal	ATENDIDA	Aspernatur dicta pariatur deleniti voluptatibus.	9	2024-06-16 06:11:45	Vanesa Criado Cámara	Toribio Cabello Armengol	Beatriz Contreras Matas	María José Parejo Franch	Jose Angel Garcés Tejada	Rosalía Esteve Gimeno
2024-12-31 11:32:36	Colombia	Claudía Navas	Cliente F	bterron@example.org	3	Operador de máquinas de vapor y calderas	1 Año	Presencial	Tecnología	"Ratione saepe perspiciatis. Laudantium at eius consectetur rerum cumque nisi.
Debitis culpa iure labore ab repellat. Neque soluta repudiandae ab. Debitis omnis maxime maxime sit consequatur."	> a 3 años	Samtel	Por definir	3145166	$ 3152423 + $339261	Ratione quidem quis animi quo voluptatum ducimus. Voluptate optio occaecati id quisquam dolorum.	Alexander Gabel	CERRADA	Voluptate at veritatis harum.	7	2025-02-24 18:18:42	Mamen Borrell Carretero	Rafaela Garcia Palomar	Cayetana Carbó-Palau	Bartolomé Suarez Bayo	Nazaret Granados Perea	Leticia Guitart Diéguez
2024-04-29 04:14:35	España	Angelica Garzón	Cliente C	anastasiavilanova@example.org	5	Agente de maniobras	1 Año	Hibrido	Pregrado Ingeniería de Sistemas	Odio alias qui cum. Nisi laudantium sunt reiciendis pariatur. Occaecati corporis sed voluptatem optio qui.	6 meses - 1 año	Samtel	N/A	7626954	$ 3251051 + $373286	Consequatur rerum pariatur molestias deserunt rerum.	Cristian Carrillo	ATENDIDA	Deserunt molestiae pariatur amet.	1	2024-11-26 10:32:23	Roldán del Céspedes	Albino Amancio Palomo Cánovas	Benita Montaña Ribes	Gertrudis Salamanca Izaguirre	Aitana del Carreño	Débora Cuesta Alcalde
2024-06-10 19:24:17	España	Claudía Navas	Cliente P	jenny52@example.net	5	Conductor de automóviles	Más de 1 año	100 % Remoto	Pregrado Ingeniería de Sistemas	"Occaecati consectetur repellendus delectus nisi. Soluta sequi sequi labore repellendus consectetur.
Et perferendis reiciendis eos quod earum. Repudiandae quis suscipit dolor."	5 Años	Samtel	Por definir	5663915	$ 4949136 + $244753	"Eum ea accusantium illum ullam modi nisi.
Dolor culpa quisquam distinctio dicta."	Víctor Díaz	CERRADA	Quasi saepe dolorem saepe quo quae modi qui.	8	2025-02-28 22:24:59	Benito Roura Coloma	Ismael Machado Llabrés	Isidora Micaela Villar Múgica	Paco Vilanova Gibert	Amor Téllez Revilla	Jose Ignacio Cabello Lopez
2024-12-21 01:34:53	Colombia	Víctor Díaz	Softtek	rupertoguardiola@example.org	3	Moldeador y machero	6 meses	Presencial	Ingeniería de Sistemas	Excepturi debitis doloremque laborum. Libero perspiciatis veniam sed.	5 Años	Cliente	N/A	3296311	$ 1259139 + $162518	Voluptatibus exercitationem nesciunt eum sequi reprehenderit.	Cristian Carrillo	ATENDIDA	Enim temporibus doloribus explicabo esse.	3	2024-08-08 11:49:51	Graciela Salamanca Carro	Albano Ferrándiz	Cleto de Quintana	Eugenia Montesinos Alvarez	Carlito Ferrando Miranda	Ramón Rosell Villaverde
2024-07-09 02:42:40	España	Alexander Gabel	Cliente M	ruthramirez@example.com	4	Conductor de motocicletas	6 meses	100 % Remoto	Pregrado Ingeniería de Sistemas	Temporibus deserunt consectetur nobis expedita alias numquam. Magnam recusandae reiciendis. Suscipit occaecati vero adipisci.	6 meses - 1 año	Cliente	Por determinar	7663195	$ 2196287 + $397725	Porro incidunt quae veniam.	Angelica Garzón	ATENDIDA	Velit aperiam quo.	7	2024-10-02 04:54:02	Custodia Sanmartín-Conesa	Olivia Rivera García	Arcelia Eliana Cabañas Salazar	Luís Fuertes Rincón	Ana Belén Saura Valle	Prudencia Pineda Garrido
2024-12-18 05:44:52	España	Claudía Navas	Mi Banco	canasaurora@example.com	1	Zoólogo	Más de 1 año	100 % Remoto	Pregrado Ingeniería de Sistemas	Molestias dolorem earum molestias rem. Ex sit quis necessitatibus repellat minima officiis minima.	> a 3 años	Cliente	Por determinar	6542299	$ 2440103 + $403278	Earum fugiat tenetur ullam debitis fugit quam aliquid. Nostrum hic perferendis.	Cristian Carrillo	CERRADA	Dolorum nemo non maiores corporis magni.	8	2024-04-30 15:02:27	Haroldo del Nieto	Azucena Carbó Marqués	Fabiola Vendrell Calvo	Blanca Ugarte Herranz	Amílcar Pedrosa Coll	Rafael Héctor Moll Roselló
2025-01-03 10:52:58	Colombia	Andres Leon	Cliente H	juan36@example.com	1	Diseñador de prendas	> 1 Año	Hibrido	Ingeniería de Sistemas	Rem iste reiciendis quia quam sit. Cumque eaque alias quos totam a. Eius quis accusamus delectus vero nihil. Veniam culpa dicta unde voluptatum molestiae.	> a 3 años	Cliente	Por definir	6443310	$ 2949028 + $286166	Labore error fugiat ullam.	Alicia Perdomo	CONTRATADO	Cum vitae cum veritatis nam soluta.	5	2024-12-26 06:08:59	Estela Gallo Sabater	Omar Páez Aranda	Guiomar de Diaz	Bruno de Benet	Florentina Liliana Bautista Solé	Fito Olivares-Salvador
2024-03-22 06:11:44	España	Víctor Díaz	Cliente T	mercaderbenigna@example.com	3	Director de explotaciones de minería	Indefinido	Presencial	Pregrado Ingeniería de Sistemas	Possimus possimus expedita cumque. Iste repellendus excepturi reprehenderit ea libero provident nesciunt. Numquam architecto accusamus cumque sed.	> a 3 años	Samtel	Por definir	6355834	$ 4380586 + $440518	Iusto corporis dicta ipsam et.	Barbara Correa	CERRADA	Nostrum ratione id alias ipsum.	6	2025-01-26 04:37:10	Francisco Javier Salcedo Solana	Iris Jara	Dominga Bustos Acosta	Sebastian Soria Pina	Celia Cabrero Mayo	Julieta de Montoya
2024-12-04 17:30:06	España	Andres Leon	Cliente I	arnauricardo@example.com	2	Optometrista	Indefinido	Presencial	Ingeniería de Sistemas	Expedita velit voluptas odit repellendus eveniet magnam tempore. Vel quo omnis aperiam provident architecto animi odit.	5 Años	Samtel	Por determinar	5150541	$ 1064028 + $111142	Nemo ea dolorem reiciendis doloribus. Reiciendis hic rem quod autem dolor laboriosam.	Angelica Garzón	CERRADA	Cum hic ea corporis repellat.	7	2024-03-30 00:42:30	Fabiana Mas Pardo	Rafael Gonzalo Piña	Nydia Roberta Cabo Calzada	Abigaíl Cabello Roldán	Marita Juárez Andreu	David Bernal Carbó
2024-04-23 03:04:44	Colombia	Víctor Díaz	Cliente I	zmarmol@example.com	4	Controlador de plagas y malas hierbas	> 1 Año	100 % Remoto	Pregrado Ingeniería de Sistemas	Voluptas sequi eaque at sint aperiam cupiditate. Ratione quos voluptatum sed animi.	6 meses - 1 año	Samtel	Por definir	1691483	$ 1451539 + $102768	Repellendus sapiente nemo unde voluptatibus provident. Molestias debitis a assumenda.	Angelica Garzón	ATENDIDA	Quisquam ducimus magni asperiores.	5	2024-12-14 03:09:18	Gustavo Pintor Solsona	Miriam Morante	Cecilio del Herrero	Jerónimo Benavides-Pino	Nilo Madrigal Mascaró	Dominga Folch Barranco
2024-12-01 08:33:23	España	Claudía Navas	Cliente N	puigponcio@example.com	5	Inspector de policía	1 Año	Presencial	Ingeniería de Sistemas	"Neque deleniti atque numquam dicta corrupti. Temporibus eius eum praesentium deserunt corporis eos temporibus.
Deleniti sint totam aut. Saepe architecto fuga aperiam."	> a 3 años	Cliente	Por definir	1977291	$ 1285567 + $164033	Commodi sit quasi dolorem quae culpa. At consectetur voluptas ratione alias optio et.	Alexander Gabel	CONTRATADO	Eius qui incidunt natus soluta explicabo.	10	2024-03-15 03:21:21	Reyes Pacheco-Perelló	Reina Castro	Jorge Vara Pinilla	Cosme Bermudez Ramis	Eutropio Montserrat Blanch	Victorino Montalbán Tormo
2024-10-31 19:25:36	Colombia	Claudía Navas	Cliente E	lucascecilia@example.org	1	Químico	> 1 Año	Presencial	Pregrado Ingeniería de Sistemas	Perspiciatis vel sequi atque autem at aut. Fugiat veritatis inventore cum debitis aspernatur similique.	> a 3 años	Samtel	N/A	9190493	$ 1828118 + $210490	Autem dolores quae quae voluptas nobis. Facere enim sapiente.	Víctor Díaz	CERRADA	Dolores placeat quam odio.	10	2024-10-20 20:42:31	Liliana Viviana Revilla Terrón	Odalys del Neira	Olga Almazán Leon	Yago Sobrino Polo	Porfirio Alonso Balaguer	Che Herrera Moraleda
2024-11-05 09:56:48	Colombia	Alexander Gabel	Cliente L	gluis@example.org	2	Mecánico y reparador de motores de avión	6 meses	Presencial	Tecnología	Fuga dolore architecto ipsam aliquam. Numquam aut vitae possimus. Saepe commodi minus recusandae libero labore consequatur.	6 meses - 1 año	Cliente	Por determinar	1964424	$ 4929694 + $185107	Velit quas odit. Autem reiciendis dolore minima.	Alicia Perdomo	CONTRATADO	Nostrum deleniti voluptatem ipsa aliquid.	5	2025-02-17 08:07:53	Regina Salcedo-Comas	Eufemia Morán Pou	Lola Gonzalo Ávila	Josefa Poza-Olmo	Florina Ferrer Uriarte	Ruth Nieves Viana Ávila
2025-01-15 14:49:38	Colombia	Niolimar Sequera	Cliente R	manolo23@example.net	2	Marinero de cubierta	1 Año	Hibrido	Tecnología	"Voluptates est odit consectetur quae quia voluptatem.
Illo ipsam consequatur illo. Voluptates adipisci possimus quidem id consectetur sapiente. Earum aspernatur perspiciatis ab."	6 meses - 1 año	Cliente	Por definir	3409122	$ 2869905 + $255071	Mollitia corrupti a soluta quia. Occaecati dolorum ipsam nemo rem doloremque aperiam fugiat.	Cristian Carrillo	CONTRATADO	Autem odit necessitatibus vitae ad quidem.	1	2024-12-16 10:03:48	Jose Antonio del Cordero	Ruy de Salcedo	Norberto Mateu Rodrigo	Noemí Jerez Pomares	Onofre Morera	David Bernad Romeu
2024-10-01 02:09:40	España	Víctor Díaz	Cliente T	alvaroescudero@example.org	3	Asesor de inversiones	6 meses	Presencial	Pregrado Ingeniería de Sistemas	Eaque ullam neque iure ut velit. Amet neque non. In nihil expedita at veniam exercitationem nobis consectetur. At corrupti veritatis temporibus.	5 Años	Samtel	Por determinar	7206672	$ 4141559 + $352143	Consequatur ratione velit dicta ratione. Et molestiae nam assumenda voluptatibus ad velit.	Cristian Carrillo	CERRADA	Ad quidem similique alias optio.	7	2024-06-10 23:36:37	Piedad Vizcaíno	Natalia Eulalia Fabregat Peláez	Severiano Mariscal Manrique	Román Naranjo Pacheco	Paola Cañizares Niño	Reyna Olmo Arana
2024-07-25 18:55:32	España	Andres Leon	Cliente J	lasamirta@example.com	5	Deportista	1 Año	100 % Remoto	Pregrado Ingeniería de Sistemas	"Sunt dolor corporis incidunt. Atque necessitatibus impedit. Assumenda ex ex similique perspiciatis corrupti.
Minus fuga adipisci. Eaque cumque soluta quia. Sunt voluptate laboriosam."	5 Años	Samtel	N/A	2817654	$ 2252286 + $471563	Quasi in totam ducimus aspernatur. Atque sapiente nihil laboriosam fugiat quaerat cumque.	Cristian Carrillo	ATENDIDA	Architecto sit voluptate sit.	4	2024-06-03 18:52:49	Gregorio Jordán	Octavio Sanjuan Palomares	Nicanor Roca Dueñas	Javiera Vilma Corbacho Acedo	Eli Casanovas-Barbero	Sebastian del Solano
2025-03-06 02:19:18	España	Víctor Díaz	Cliente H	bolanosabigail@example.com	2	Director de investigación y desarrollo	1 Año	Presencial	Tecnología	Accusamus aliquam numquam assumenda nam consequuntur dolorum. Nihil iusto temporibus praesentium.	5 Años	Samtel	N/A	3310787	$ 1904176 + $457645	Expedita culpa deserunt illo. Accusamus voluptas ad temporibus.	Alexander Gabel	CONTRATADO	Laudantium similique impedit asperiores.	7	2024-04-10 22:56:21	Natalio Mancebo Cano	Dan Cases	Irma Pineda	Ágata del Parra	Segismundo Moreno-Gelabert	Guadalupe Bruno Paz Molina
2025-01-13 22:24:43	España	Víctor Díaz	Cliente Q	yaiza76@example.org	4	Economista	1 Año	Hibrido	Tecnología	"Vel ratione totam nihil quasi atque illo. Illo illum magni natus. Ducimus voluptatibus corporis distinctio quam natus.
Eius temporibus sint temporibus."	5 Años	Samtel	Por definir	1828757	$ 3424014 + $304082	Voluptatum laudantium quod iure labore. Dignissimos voluptates cum. Sequi quae tempore quasi earum.	Barbara Correa	CERRADA	Temporibus voluptatibus culpa odit.	8	2024-06-08 04:40:19	Sergio Sanjuan	Alcides Neira Pareja	Rosalía Dionisia Saavedra Ríos	Rosenda Andres Morillo	Chema Ayala Antúnez	Inés Morera Gelabert
2024-08-24 19:48:52	Colombia	Angelica Garzón	Cliente R	dionisia95@example.com	5	Traductor e intérprete	6 meses	Presencial	Tecnología	"Inventore dolore modi modi.
Cum sint ullam ratione at quos. Laboriosam dolores accusantium totam."	5 Años	Samtel	N/A	7267350	$ 4280885 + $452125	Autem ipsa aut. Sit officia id exercitationem. Atque dignissimos doloribus.	Angelica Garzón	ATENDIDA	Ipsa hic labore vero.	8	2024-11-18 23:06:54	Ruperta Patiño Canals	Efraín Moreno Soriano	Nazario Torrijos Romero	Jose Carlos Alvarez-Solé	Candelas Cruz Mariño	Domingo Calderón Botella
2024-12-28 12:46:51	Colombia	Claudía Navas	Cliente M	remigio95@example.com	2	Auxiliar de maestro	1 Año	Presencial	Tecnología	Eius rerum assumenda ex laboriosam dolore doloribus omnis. Quidem eveniet fugiat sit repellendus deleniti. Officia minima nemo illo eum ullam temporibus. Rem iure fugiat impedit alias laborum earum.	> a 3 años	Samtel	Por determinar	9936405	$ 3621603 + $486835	Ea alias numquam explicabo. Autem libero quam. Facilis maiores in blanditiis neque rem aspernatur.	Barbara Correa	CERRADA	Commodi natus autem nostrum eum.	6	2024-07-18 03:16:46	Paz Ariza Duran	Dorita Cristina Mariscal Coronado	Ámbar Pareja Cerdán	María Cristina Coronado Crespo	Angélica Emperatriz Pardo Ramos	Jose Nico Ramírez Vargas
2024-11-28 06:26:55	Colombia	Víctor Díaz	Mi Banco	roque86@example.net	5	Inspector de policía	Indefinido	100 % Remoto	Ingeniería de Sistemas	Ea nostrum cum saepe sunt. Odio veniam sapiente deserunt. Dolorem nam similique eveniet harum.	> a 3 años	Cliente	Por definir	1794141	$ 1590174 + $265711	Cumque eaque excepturi nemo pariatur. Alias libero culpa nisi.	Angelica Garzón	ATENDIDA	Hic fuga quis itaque dolorum corrupti.	2	2025-02-21 12:57:41	Alba Sanjuan-Puga	Rómulo Morell Zorrilla	Lorena Escribano Gual	Tania Castañeda Mur	Nicodemo Fabra Valle	Nayara Lopez Gámez
2024-07-22 11:49:51	España	Víctor Díaz	Cliente A	reignarcisa@example.org	1	Chef	Indefinido	Presencial	Pregrado Ingeniería de Sistemas	Quidem aliquid illum omnis adipisci tempore at. Doloribus iste iusto doloremque. Illum voluptas quod aliquid fuga facilis ex.	> a 3 años	Samtel	N/A	9852824	$ 4807153 + $268006	Eum ex natus occaecati unde.	Alicia Perdomo	CONTRATADO	Ad quae provident.	1	2025-02-16 10:12:05	Sol Sáenz Parra	Gil Priego	Isa Bernal Checa	Belen Rubio	Vilma Larrañaga Tamarit	María Pilar de Anaya
2024-07-21 23:15:01	España	Angelica Garzón	Cliente H	lopezramon@example.com	4	Peón de jardinería y horticultura	Más de 1 año	Hibrido	Pregrado Ingeniería de Sistemas	Recusandae iure quidem officiis assumenda accusamus. Amet quisquam at in odio iste rem.	5 Años	Cliente	Por determinar	6641645	$ 3081848 + $254436	Pariatur id optio voluptates dolor saepe. Minus sunt facilis ipsum dolorum voluptatibus distinctio.	Cristian Carrillo	CONTRATADO	Consequatur dolorum dolorem.	5	2024-09-14 21:51:28	Chus Farré-Hervia	Felipa de Varela	Agustín Alarcón	Miguel Ángel Alberto Carballo	Sebastián Aragonés-Sastre	Gisela Ropero Campo
2024-06-22 14:11:12	España	Víctor Díaz	BBVA	mcabeza@example.com	5	Marinero de cubierta	> 1 Año	100 % Remoto	Tecnología	Sit quidem vero libero corporis rerum ex. Quas dolore aperiam eaque sint. Saepe quod quis voluptates dicta quam non.	6 meses - 1 año	Cliente	Por definir	1879050	$ 1865530 + $429737	Quidem reprehenderit sit inventore. Voluptatibus eveniet laborum ducimus optio iusto minus.	Cristian Carrillo	CERRADA	Quae adipisci neque minus fugit quo omnis omnis.	4	2024-11-13 22:45:20	Odalis Vilaplana Arcos	Espiridión Domínguez Agustí	Maite Piña Alsina	Eva Manzanares Palomar	Moisés Julián	Ema de Hernando
2024-05-21 08:20:41	Colombia	Andres Leon	Cliente O	valdesmarcos@example.net	2	Impresor	> 1 Año	Presencial	Pregrado Ingeniería de Sistemas	Natus doloremque dignissimos dignissimos. Nemo magnam eveniet voluptas quasi ab. Dicta sint iure.	5 Años	Cliente	Por determinar	8568664	$ 4418546 + $401874	Quasi eos quisquam iure. Aliquid quisquam consequatur perspiciatis.	Angelica Garzón	CONTRATADO	Occaecati tenetur excepturi.	10	2024-10-28 16:28:56	Eusebio Ferreras Pedraza	Virgilio Gomila Barco	Casandra Cañete	Román Losa Gomila	Natividad Mendizábal Ballesteros	Cosme Lago
2024-11-11 17:45:45	España	Alexander Gabel	Cliente I	rfuentes@example.net	1	Operador de plantas y máquinas de productos químicos	Indefinido	100 % Remoto	Pregrado Ingeniería de Sistemas	"Animi eum soluta dicta laboriosam quam impedit. Voluptatem officiis qui beatae quae est ut. Occaecati aspernatur pariatur fugit.
Nihil natus itaque ipsa nam vitae. Itaque numquam quis dolor fugit."	> a 3 años	Samtel	Por determinar	1223985	$ 4256663 + $326514	Veritatis cumque doloribus. Vero sequi odio. Officia natus eos adipisci molestias voluptate.	Barbara Correa	ATENDIDA	Quod maxime autem animi velit.	6	2024-08-04 23:57:22	Valeria Pinto Bilbao	Raúl Cases Sevilla	Samanta Dafne Otero Noguera	Salud Menendez Cerdá	Plácido Perelló	Marco Sureda Téllez
2024-05-21 02:11:16	España	Niolimar Sequera	Cliente I	cerezojovita@example.com	5	Fabricante de instrumentos musicales	6 meses	Presencial	Tecnología	Deserunt doloremque atque ipsa totam. Possimus possimus unde eius sint enim quae.	> a 3 años	Samtel	N/A	5508266	$ 3484065 + $118554	Laudantium id quos. Ducimus totam hic ex iste magnam laborum. Sunt iusto optio inventore.	Víctor Díaz	ATENDIDA	Ullam temporibus earum.	2	2025-02-20 07:07:04	Florencio Morell Medina	Alba Caparrós	Primitivo Aragón Arévalo	Candelas Seco Llorens	Abril Oliva Recio	Elisabet Arribas Barrio
